"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1022.0","1025.2","1023.4","2023/12/01 09:35:00","1020.0","2023/12/01 03:33:00","16.6","18.6","2023/12/01 00:52:00","15.2","2023/12/01 17:24:00","15.0","90","80","2023/12/01 22:22:00","5.4","20","12.6","30","2023/12/01 04:27:00","29.0","21.5","2.0","2023/12/01 01:57:00","6.0","2023/12/01 04:06:00","0.0","0.0","1.20","3.6","0.0","1","2023/12/01 12:00:00","10.0"
"02","1020.7","1023.9","1023.0","2023/12/02 09:12:00","1018.9","2023/12/02 14:33:00","17.3","18.5","2023/12/02 12:49:00","16.1","2023/12/02 05:02:00","15.5","89","80","2023/12/02 00:30:00","3.0","50","9.8","20","2023/12/02 05:03:00","13.5","17.8","1.5","2023/12/02 05:10:00","4.0","2023/12/02 04:24:00","0.0","0.0","1.27","10.0","/","2","2023/12/02 12:00:00","10.0"
"03","1018.8","1022.0","1020.7","2023/12/03 09:10:00","1017.1","2023/12/03 23:31:00","18.3","19.0","2023/12/03 23:07:00","17.5","2023/12/03 11:24:00","17.8","97","96","2023/12/03 00:01:00","3.4","40","9.9","360","2023/12/03 10:31:00","34.0","22.6","1.0","2023/12/03 02:45:00","3.5","2023/12/03 09:55:00","0.0","0.0","2.49","2.9","-1.0","2","2023/12/03 12:00:00","10.0"
"04","1013.3","1016.5","1017.3","2023/12/04 00:01:00","1011.0","2023/12/04 14:46:00","19.5","20.4","2023/12/04 16:07:00","18.8","2023/12/04 00:16:00","19.0","97","96","2023/12/04 02:19:00","1.6","280","8.4","40","2023/12/04 00:13:00","70.0","21.2","2.5","2023/12/04 03:29:00","9.0","2023/12/04 05:00:00","0.0","0.0","2.06","3.4","0.0","1","2023/12/04 11:00:00","10.0"
"05","1012.6","1015.8","1014.2","2023/12/05 09:08:00","1011.0","2023/12/05 03:49:00","19.3","20.4","2023/12/05 08:54:00","18.5","2023/12/05 18:26:00","17.5","89","77","2023/12/05 14:29:00","2.2","320","8.2","10","2023/12/05 14:14:00","T","2.5","T","2023/12/05 05:01:00","T","2023/12/05 05:01:00","0.0","0.0","2.81","14.0","-1.3","2","2023/12/05 10:00:00","10.0"
"06","1013.6","1016.8","1015.3","2023/12/06 22:21:00","1011.5","2023/12/06 04:09:00","18.3","19.4","2023/12/06 10:00:00","16.7","2023/12/06 22:30:00","17.1","93","78","2023/12/06 17:08:00","1.4","240","6.7","360","2023/12/06 14:39:00","2.5","9.5","1.0","2023/12/06 10:40:00","1.5","2023/12/06 10:40:00","0.0","0.0","1.00","7.2","/","1","2023/12/06 12:00:00","10.0"
"07","1015.3","1018.5","1017.4","2023/12/07 09:25:00","1014.0","2023/12/07 14:47:00","18.8","21.5","2023/12/07 11:22:00","15.4","2023/12/07 05:34:00","12.6","70","47","2023/12/07 13:54:00","2.3","60","9.3","80","2023/12/07 12:19:00","0.0","0.0","0.0","--","0.0","--","7.9","74.7","14.07","16.0","3.2","5","2023/12/07 12:00:00","3.6"
"08","1013.1","1016.2","1014.8","2023/12/08 08:39:00","1011.3","2023/12/08 13:52:00","21.1","26.1","2023/12/08 12:46:00","16.7","2023/12/08 03:14:00","15.3","71","49","2023/12/08 12:42:00","0.9","200","5.4","190","2023/12/08 10:19:00","0.0","0.0","0.0","--","0.0","--","8.4","79.5","14.73","25.0","2.8","6","2023/12/08 12:00:00","1.4"
"09","1012.2","1015.4","1014.8","2023/12/09 08:52:00","1010.8","2023/12/09 15:38:00","20.8","24.0","2023/12/09 10:20:00","17.7","2023/12/09 02:07:00","17.9","84","61","2023/12/09 10:20:00","1.7","200","5.4","190","2023/12/09 03:54:00","0.0","0.0","0.0","--","0.0","--","5.4","51.1","12.81","20.0","2.5","5","2023/12/09 11:00:00","6.8"
"10","1011.0","1014.1","1013.4","2023/12/10 08:48:00","1009.2","2023/12/10 14:41:00","22.7","25.3","2023/12/10 20:02:00","19.7","2023/12/10 02:30:00","20.4","87","68","2023/12/10 10:27:00","1.7","200","5.9","20","2023/12/10 11:22:00","0.0","0.0","0.0","--","0.0","--","8.5","80.5","14.37","28.0","3.7","6","2023/12/10 12:00:00","3.2"
"11","1010.9","1014.0","1012.9","2023/12/11 08:42:00","1009.2","2023/12/11 14:11:00","24.3","28.0","2023/12/11 10:58:00","21.6","2023/12/11 05:39:00","21.5","85","67","2023/12/11 10:59:00","1.3","200","5.8","360","2023/12/11 13:31:00","0.0","0.0","0.0","--","0.0","--","6.3","59.7","13.27","14.2","-3.0","6","2023/12/11 12:00:00","5.4"
"12","1016.5","1019.7","1019.7","2023/12/12 21:13:00","1012.0","2023/12/12 00:19:00","19.2","23.7","2023/12/12 00:01:00","17.5","2023/12/12 21:43:00","18.6","96","95","2023/12/12 00:01:00","4.4","30","11.2","20","2023/12/12 13:01:00","47.0","22.8","4.5","2023/12/12 01:48:00","7.5","2023/12/12 01:48:00","0.0","0.0","1.89","2.7","0.0","1","2023/12/12 12:00:00","10.0"
"13","1018.4","1021.6","1020.4","2023/12/13 08:57:00","1017.0","2023/12/13 23:45:00","19.6","21.8","2023/12/13 21:16:00","17.6","2023/12/13 00:01:00","18.6","94","87","2023/12/13 15:03:00","2.2","50","9.0","50","2023/12/13 03:12:00","9.0","10.3","1.0","2023/12/13 04:41:00","2.5","2023/12/13 04:41:00","0.0","0.0","3.46","7.2","-0.5","2","2023/12/13 12:00:00","10.0"
"14","1015.5","1018.6","1017.4","2023/12/14 08:58:00","1013.5","2023/12/14 14:52:00","22.9","27.5","2023/12/14 14:33:00","18.8","2023/12/14 06:29:00","20.0","85","66","2023/12/14 14:30:00","1.1","220","7.2","220","2023/12/14 13:00:00","0.0","0.0","0.0","--","0.0","--","8.7","82.5","15.21","30.0","5.2","6","2023/12/14 12:00:00","1.6"
"15","1013.2","1016.4","1014.8","2023/12/15 08:59:00","1011.5","2023/12/15 13:49:00","22.9","26.7","2023/12/15 10:23:00","20.0","2023/12/15 05:24:00","19.8","83","63","2023/12/15 14:58:00","1.8","180","7.0","220","2023/12/15 07:40:00","0.0","0.0","0.0","--","0.0","--","6.4","60.8","12.16","30.0","-2.7","5","2023/12/15 12:00:00","3.6"
"16","1022.3","1025.5","1027.1","2023/12/16 22:01:00","1014.1","2023/12/16 00:01:00","15.0","22.9","2023/12/16 00:03:00","12.3","2023/12/16 23:01:00","13.3","90","79","2023/12/16 19:10:00","6.9","10","17.2","340","2023/12/16 07:47:00","19.5","17.0","1.0","2023/12/16 04:50:00","5.0","2023/12/16 04:50:00","0.0","0.0","2.00","5.7","0.0","1","2023/12/16 11:00:00","10.0"
"17","1025.5","1028.8","1028.1","2023/12/17 08:54:00","1023.2","2023/12/17 23:55:00","13.9","15.7","2023/12/17 22:28:00","12.0","2023/12/17 02:47:00","11.1","84","71","2023/12/17 04:42:00","5.9","30","14.7","260","2023/12/17 03:47:00","11.5","19.0","1.0","2023/12/17 16:56:00","3.0","2023/12/17 19:24:00","0.0","0.0","0.61","6.6","0.0","0","2023/12/17 13:00:00","10.0"
"18","1019.2","1022.4","1023.2","2023/12/18 00:01:00","1016.1","2023/12/18 23:43:00","18.6","21.0","2023/12/18 16:25:00","15.5","2023/12/18 00:01:00","16.9","90","78","2023/12/18 17:17:00","2.0","40","9.2","40","2023/12/18 03:15:00","8.5","7.7","1.0","2023/12/18 03:53:00","2.0","2023/12/18 03:53:00","0.3","2.8","6.96","10.0","/","4","2023/12/18 11:00:00","10.0"
"19","1018.6","1021.8","1020.6","2023/12/19 21:58:00","1015.9","2023/12/19 00:16:00","17.4","19.5","2023/12/19 03:22:00","15.3","2023/12/19 18:36:00","16.2","92","84","2023/12/19 21:43:00","5.3","360","15.5","360","2023/12/19 23:21:00","4.0","12.0","0.5","2023/12/19 09:16:00","1.0","2023/12/19 14:24:00","0.0","0.0","1.71","6.2","-0.5","1","2023/12/19 13:00:00","10.0"
"20","1021.2","1024.4","1023.4","2023/12/20 22:15:00","1019.4","2023/12/20 14:16:00","15.1","16.4","2023/12/20 10:23:00","13.5","2023/12/20 22:57:00","13.4","89","83","2023/12/20 09:11:00","8.7","360","18.8","20","2023/12/20 03:41:00","26.5","17.3","1.5","2023/12/20 12:50:00","4.5","2023/12/20 18:41:00","0.0","0.0","1.45","5.4","-0.8","1","2023/12/20 12:00:00","10.0"
