"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1002.0","1006.1","1004.1","2023/08/01 00:01:00","999.8","2023/08/01 16:14:00","28.1","32.7","2023/08/01 14:09:00","25.4","2023/08/01 05:40:00","25.8","87","68","2023/08/01 10:29:00","1.7","100","6.8","100","2023/08/01 16:22:00","T","0.4","T","2023/08/01 00:01:00","T","2023/08/01 00:01:00","7.2","54.4","21.72","22.2","4.8","9","2023/08/01 14:00:00","4.0","29.4","29.2","29.3","29.1","29.4","29.5","29.0"
"02","1000.0","1004.1","1001.9","2023/08/02 00:01:00","998.3","2023/08/02 16:28:00","28.7","33.3","2023/08/02 12:22:00","26.3","2023/08/02 01:38:00","26.2","87","73","2023/08/02 11:49:00","2.3","240","8.3","240","2023/08/02 20:05:00","0.0","0.0","0.0","--","0.0","--","10.5","79.5","25.69","12.4","5.4","12","2023/08/02 13:00:00","2.0","30.6","29.7","29.9","29.7","29.9","29.9","29.0"
"03","997.0","1001.0","999.4","2023/08/03 00:01:00","994.8","2023/08/03 16:04:00","29.8","34.6","2023/08/03 13:19:00","27.5","2023/08/03 05:38:00","26.9","85","72","2023/08/03 13:24:00","3.6","230","11.2","230","2023/08/03 21:45:00","0.0","0.0","0.0","--","0.0","--","10.9","82.6","25.69","15.6","5.7","11","2023/08/03 13:00:00","3.2","31.4","30.2","30.4","30.2","30.3","30.2","29.0"
"04","998.2","1002.3","999.6","2023/08/04 08:45:00","996.9","2023/08/04 16:33:00","29.5","33.2","2023/08/04 11:42:00","27.5","2023/08/04 02:10:00","27.4","89","75","2023/08/04 11:43:00","3.1","230","13.3","220","2023/08/04 14:16:00","0.0","0.0","0.0","--","0.0","--","10.6","80.5","25.34","12.8","6.0","11","2023/08/04 13:00:00","4.6","31.8","30.8","31.0","30.7","30.8","30.6","29.1"
"05","998.3","1002.4","1000.2","2023/08/05 08:24:00","996.7","2023/08/05 16:51:00","29.4","33.2","2023/08/05 11:52:00","27.2","2023/08/05 02:51:00","27.3","89","77","2023/08/05 12:14:00","2.6","230","10.5","230","2023/08/05 18:54:00","0.0","0.0","0.0","--","0.0","--","11.2","85.2","23.74","15.0","4.7","10","2023/08/05 13:00:00","3.8","31.7","30.9","31.1","30.8","31.0","30.9","29.3"
"06","997.0","1001.1","998.1","2023/08/06 09:02:00","995.0","2023/08/06 16:10:00","29.5","33.6","2023/08/06 13:14:00","27.2","2023/08/06 03:35:00","27.6","90","76","2023/08/06 13:22:00","2.2","230","12.0","240","2023/08/06 16:20:00","0.0","0.0","0.0","--","0.0","--","11.5","87.6","24.19","13.4","5.5","10","2023/08/06 13:00:00","1.4","32.1","31.0","31.2","31.0","31.2","31.0","29.4"
"07","997.4","1001.4","999.0","2023/08/07 23:17:00","995.4","2023/08/07 15:34:00","29.0","33.2","2023/08/07 13:59:00","26.9","2023/08/07 05:18:00","27.2","90","76","2023/08/07 13:59:00","2.1","230","9.8","250","2023/08/07 17:38:00","0.0","0.0","0.0","--","0.0","--","10.2","77.8","22.36","15.2","-4.5","9","2023/08/07 12:00:00","2.8","32.0","31.0","31.2","31.1","31.3","31.2","29.5"
"08","999.4","1003.5","1001.0","2023/08/08 22:24:00","997.2","2023/08/08 02:31:00","27.8","32.0","2023/08/08 12:14:00","26.3","2023/08/08 16:29:00","26.3","92","79","2023/08/08 12:14:00","2.2","240","9.4","280","2023/08/08 16:28:00","1.5","0.4","1.0","2023/08/08 04:34:00","1.0","2023/08/08 04:34:00","2.6","19.9","13.00","14.0","-3.5","9","2023/08/08 13:00:00","8.8","29.5","30.6","30.8","30.8","31.1","31.1","29.6"
"09","1000.5","1004.6","1002.3","2023/08/09 09:08:00","998.9","2023/08/09 16:22:00","28.6","32.4","2023/08/09 11:45:00","26.1","2023/08/09 03:07:00","26.6","89","75","2023/08/09 11:59:00","2.2","220","7.7","200","2023/08/09 18:32:00","0.0","0.0","0.0","--","0.0","--","9.7","74.2","24.50","15.4","-5.9","10","2023/08/09 13:00:00","3.8","30.8","30.2","30.3","30.3","30.6","30.7","29.6"
"10","1001.2","1005.3","1002.7","2023/08/10 10:45:00","999.7","2023/08/10 01:32:00","27.4","31.0","2023/08/10 14:51:00","25.0","2023/08/10 06:33:00","25.7","91","79","2023/08/10 12:42:00","2.3","350","9.2","340","2023/08/10 06:46:00","9.5","3.7","7.0","2023/08/10 06:03:00","8.5","2023/08/10 06:03:00","2.8","21.4","13.17","22.0","-2.5","8","2023/08/10 13:00:00","9.0","28.8","29.9","30.1","30.2","30.7","30.7","29.6"
"11","1001.5","1005.6","1002.5","2023/08/11 22:50:00","1000.1","2023/08/11 14:53:00","27.4","30.7","2023/08/11 10:42:00","25.7","2023/08/11 07:46:00","26.1","93","82","2023/08/11 10:58:00","1.7","160","6.5","140","2023/08/11 11:07:00","2.0","1.6","1.0","2023/08/11 07:31:00","2.0","2023/08/11 07:03:00","1.1","8.4","13.84","16.4","-2.8","9","2023/08/11 13:00:00","9.6","29.1","29.8","29.8","29.9","30.3","30.4","29.5"
"12","1001.6","1005.7","1002.7","2023/08/12 08:27:00","1000.4","2023/08/12 16:15:00","26.8","31.0","2023/08/12 10:35:00","25.3","2023/08/12 12:35:00","26.0","95","81","2023/08/12 10:36:00","1.7","230","9.0","220","2023/08/12 11:31:00","10.0","2.7","6.0","2023/08/12 11:27:00","8.0","2023/08/12 11:19:00","4.3","33.0","12.34","27.0","-1.9","7","2023/08/12 11:00:00","8.4","28.4","29.4","29.6","29.7","30.1","30.3","29.5"
"13","1001.1","1005.2","1002.5","2023/08/13 09:56:00","999.5","2023/08/13 18:28:00","27.6","31.2","2023/08/13 13:06:00","26.4","2023/08/13 00:02:00","26.8","95","81","2023/08/13 11:22:00","2.8","220","9.9","200","2023/08/13 13:41:00","T","0.1","T","2023/08/13 06:07:00","T","2023/08/13 06:07:00","3.5","27.0","15.52","16.8","3.2","12","2023/08/13 13:00:00","9.4","28.8","29.4","29.6","29.5","29.9","30.0","29.4"
"14","1001.9","1006.0","1003.6","2023/08/14 22:30:00","1000.4","2023/08/14 15:59:00","28.3","32.5","2023/08/14 12:33:00","26.3","2023/08/14 04:47:00","27.0","93","79","2023/08/14 12:48:00","3.1","230","11.3","210","2023/08/14 15:54:00","0.0","0.0","0.0","--","0.0","--","10.7","82.5","24.06","19.6","5.2","11","2023/08/14 13:00:00","2.4","29.8","29.7","29.9","29.8","30.0","30.0","29.3"
"15","1002.7","1006.8","1004.1","2023/08/15 21:39:00","1000.7","2023/08/15 15:07:00","28.9","32.9","2023/08/15 13:13:00","26.6","2023/08/15 04:47:00","27.4","92","78","2023/08/15 15:03:00","2.1","230","10.2","220","2023/08/15 15:46:00","0.0","0.0","0.0","--","0.0","--","9.6","74.2","23.99","15.4","5.0","11","2023/08/15 13:00:00","3.0","31.1","30.6","30.8","30.3","30.4","30.3","29.3"
