"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.4","1018.7","1017.8","2024/03/01 22:25:00","1013.5","2024/03/01 02:29:00","16.7","20.1","2024/03/01 02:14:00","14.0","2024/03/01 23:36:00","11.6","72","60","2024/03/01 12:10:00","5.5","360","13.6","360","2024/03/01 06:18:00","0.0","0.0","0.0","--","0.0","--","0.2","1.7","7.40","17.0","4","2024/03/01 11:00:00","9.4"
"02","1016.8","1020.1","1018.8","2024/03/02 09:30:00","1015.0","2024/03/02 15:53:00","14.2","15.4","2024/03/02 19:27:00","12.9","2024/03/02 04:12:00","10.5","79","74","2024/03/02 10:07:00","4.0","10","9.8","360","2024/03/02 02:57:00","T","1.6","T","2024/03/02 06:56:00","T","2024/03/02 06:56:00","0.0","0.0","3.40","12.8","2","2024/03/02 13:00:00","10.0"
"03","1015.0","1018.2","1018.0","2024/03/03 08:39:00","1011.8","2024/03/03 16:03:00","18.2","24.8","2024/03/03 14:49:00","13.7","2024/03/03 03:06:00","13.0","73","48","2024/03/03 13:33:00","3.3","10","9.1","340","2024/03/03 18:40:00","0.0","0.0","0.0","--","0.0","--","10.2","87.2","21.53","18.6","9","2024/03/03 13:00:00","0.8"
"04","1011.4","1014.6","1014.2","2024/03/04 00:58:00","1007.6","2024/03/04 15:45:00","22.2","26.8","2024/03/04 13:23:00","16.4","2024/03/04 05:19:00","16.9","73","48","2024/03/04 13:22:00","2.9","20","8.6","200","2024/03/04 18:03:00","0.0","0.0","0.0","--","0.0","--","7.1","60.6","18.78","7.2","8","2024/03/04 14:00:00","6.6"
"05","1008.3","1011.4","1010.5","2024/03/05 07:59:00","1005.8","2024/03/05 15:38:00","26.5","30.4","2024/03/05 12:21:00","23.6","2024/03/05 05:30:00","20.5","71","48","2024/03/05 11:58:00","2.4","180","7.0","160","2024/03/05 02:02:00","0.0","0.0","0.0","--","0.0","--","9.3","79.2","20.36","17.0","10","2024/03/05 13:00:00","1.2"
"06","1008.6","1011.7","1011.1","2024/03/06 23:53:00","1006.7","2024/03/06 14:21:00","25.3","29.1","2024/03/06 09:53:00","19.8","2024/03/06 23:59:59","19.7","71","55","2024/03/06 09:16:00","2.9","300","8.9","240","2024/03/06 14:51:00","0.0","0.0","0.0","--","0.0","--","9.7","82.4","20.38","15.0","9","2024/03/06 12:00:00","1.6"
"07","1012.5","1015.7","1014.8","2024/03/07 23:36:00","1010.0","2024/03/07 02:10:00","17.6","20.1","2024/03/07 00:11:00","15.9","2024/03/07 23:25:00","13.7","78","67","2024/03/07 14:32:00","4.3","10","10.4","20","2024/03/07 06:13:00","2.5","1.5","1.5","2024/03/07 19:57:00","2.5","2024/03/07 19:36:00","0.0","0.0","5.02","8.0","3","2024/03/07 11:00:00","10.0"
"08","1014.7","1017.9","1016.6","2024/03/08 22:03:00","1012.5","2024/03/08 15:43:00","18.1","23.6","2024/03/08 14:13:00","14.7","2024/03/08 05:58:00","9.9","60","43","2024/03/08 11:58:00","4.3","10","11.1","350","2024/03/08 17:56:00","0.0","0.0","0.0","--","0.0","--","8.7","73.7","20.17","13.0","9","2024/03/08 13:00:00","2.2"
"09","1016.5","1019.7","1018.6","2024/03/09 09:01:00","1013.8","2024/03/09 04:54:00","17.3","22.3","2024/03/09 13:35:00","14.4","2024/03/09 06:06:00","7.1","51","41","2024/03/09 02:15:00","3.5","360","10.2","10","2024/03/09 15:11:00","T","0.2","T","2024/03/09 15:33:00","T","2024/03/09 15:33:00","2.4","20.3","13.30","9.0","6","2024/03/09 14:00:00","9.0"
"10","1018.8","1022.0","1022.0","2024/03/10 10:34:00","1016.9","2024/03/10 16:01:00","17.6","22.9","2024/03/10 14:58:00","14.9","2024/03/10 01:40:00","12.0","70","53","2024/03/10 15:03:00","2.9","20","9.4","340","2024/03/10 18:37:00","T","2.3","T","2024/03/10 05:42:00","T","2024/03/10 05:42:00","2.6","21.9","11.49","6.2","8","2024/03/10 14:00:00","9.2"
"11","1015.0","1018.2","1019.5","2024/03/11 00:01:00","1011.8","2024/03/11 16:44:00","19.9","24.4","2024/03/11 11:48:00","17.3","2024/03/11 03:12:00","16.2","80","57","2024/03/11 11:49:00","3.0","20","11.2","360","2024/03/11 18:49:00","T","1.9","T","2024/03/11 01:09:00","T","2024/03/11 01:09:00","4.7","39.6","14.90","5.8","7","2024/03/11 12:00:00","4.8"
"12","1014.2","1017.4","1016.3","2024/03/12 22:11:00","1012.2","2024/03/12 02:12:00","20.8","26.3","2024/03/12 13:06:00","16.9","2024/03/12 06:05:00","12.9","64","26","2024/03/12 15:43:00","4.2","360","14.7","360","2024/03/12 04:24:00","0.0","0.0","0.0","--","0.0","--","11.0","92.4","24.30","14.8","10","2024/03/12 13:00:00","0.6"
"13","1016.1","1019.3","1018.1","2024/03/13 09:42:00","1014.7","2024/03/13 15:42:00","21.3","25.2","2024/03/13 13:51:00","18.8","2024/03/13 23:44:00","14.2","65","47","2024/03/13 13:58:00","2.7","340","8.3","360","2024/03/13 17:30:00","0.0","0.0","0.0","--","0.0","--","8.4","70.5","20.68","16.6","9","2024/03/13 13:00:00","4.0"
"14","1015.2","1018.4","1018.3","2024/03/14 09:20:00","1012.2","2024/03/14 14:47:00","20.9","27.2","2024/03/14 14:54:00","17.5","2024/03/14 05:58:00","15.6","74","39","2024/03/14 14:32:00","2.5","10","7.5","20","2024/03/14 02:46:00","T","0.7","T","2024/03/14 03:16:00","T","2024/03/14 03:16:00","5.6","46.9","14.91","6.2","9","2024/03/14 13:00:00","6.2"
"15","1015.4","1018.5","1016.8","2024/03/15 08:00:00","1013.7","2024/03/15 14:40:00","21.7","27.3","2024/03/15 11:24:00","17.9","2024/03/15 05:52:00","17.0","76","50","2024/03/15 10:39:00","2.7","20","8.0","310","2024/03/15 14:06:00","0.0","0.0","0.0","--","0.0","--","10.0","83.6","21.68","3.8","9","2024/03/15 13:00:00","0.0"
"16","1015.3","1018.4","1017.5","2024/03/16 08:58:00","1013.2","2024/03/16 15:10:00","23.6","28.7","2024/03/16 12:47:00","18.7","2024/03/16 06:29:00","17.5","70","48","2024/03/16 12:44:00","2.0","20","7.4","310","2024/03/16 14:20:00","0.0","0.0","0.0","--","0.0","--","10.1","84.2","20.96","7.0","9","2024/03/16 13:00:00","0.0"
"17","1013.5","1016.7","1015.8","2024/03/17 07:31:00","1011.1","2024/03/17 16:12:00","25.0","29.2","2024/03/17 13:43:00","21.7","2024/03/17 06:39:00","19.1","71","49","2024/03/17 13:44:00","2.5","20","8.1","350","2024/03/17 23:48:00","0.0","0.0","0.0","--","0.0","--","10.2","84.9","21.91","10.2","10","2024/03/17 13:00:00","0.4"
"18","1013.4","1016.5","1015.5","2024/03/18 23:09:00","1011.0","2024/03/18 15:35:00","22.5","27.4","2024/03/18 14:25:00","19.7","2024/03/18 23:11:00","18.6","79","59","2024/03/18 14:25:00","4.0","360","11.5","360","2024/03/18 20:57:00","0.0","0.0","0.0","--","0.0","--","5.4","44.9","18.10","7.0","9","2024/03/18 13:00:00","5.4"
"19","1015.1","1018.3","1017.0","2024/03/19 22:31:00","1012.5","2024/03/19 14:56:00","20.1","24.2","2024/03/19 14:43:00","16.5","2024/03/19 23:54:00","13.9","68","54","2024/03/19 16:23:00","5.5","360","14.6","10","2024/03/19 17:47:00","0.0","0.0","0.0","--","0.0","--","6.9","57.2","19.54","9.6","11","2024/03/19 13:00:00","6.2"
"20","1017.3","1020.5","1018.7","2024/03/20 08:26:00","1016.0","2024/03/20 15:38:00","20.4","25.6","2024/03/20 12:33:00","16.3","2024/03/20 01:07:00","10.0","52","35","2024/03/20 05:56:00","3.0","20","10.7","180","2024/03/20 11:18:00","0.0","0.0","0.0","--","0.0","--","10.4","86.1","23.65","13.8","10","2024/03/20 13:00:00","0.8"
"21","1014.9","1018.0","1017.7","2024/03/21 00:01:00","1012.5","2024/03/21 15:27:00","21.3","24.4","2024/03/21 12:33:00","18.7","2024/03/21 01:17:00","13.7","62","54","2024/03/21 11:28:00","2.2","110","8.8","270","2024/03/21 12:21:00","0.0","0.0","0.0","--","0.0","--","10.1","83.4","22.23","18.0","10","2024/03/21 13:00:00","1.8"
