"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大六十分鐘降水量(mm)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax60","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1015.0","1016.5","1016.5","2023/11/01 08:56:00","1013.6","2023/11/01 16:07:00","25.4","31.1","2023/11/01 10:51:00","21.4","2023/11/01 05:32:00","21.9","82","52","2023/11/01 10:27:00","1.0","260","6.9","280","2023/11/01 12:54:00","0.0","0.0","0.0","0.0","9.8","87.6","17.81","13.0","4.2","7","2023/11/01 12:00:00","2.2","26.9","27.3","27.9","28.6","28.8","29.4","29.9"
"02","1013.3","1014.8","1015.1","2023/11/02 09:19:00","1011.9","2023/11/02 15:27:00","25.3","30.7","2023/11/02 12:36:00","21.8","2023/11/02 05:15:00","22.2","84","59","2023/11/02 12:39:00","0.9","300","6.4","290","2023/11/02 15:21:00","0.0","0.0","0.0","0.0","9.1","81.5","17.28","8.4","3.5","6","2023/11/02 13:00:00","1.6","26.8","27.2","27.9","28.5","28.7","29.3","29.9"
"03","1011.8","1013.3","1013.4","2023/11/03 08:48:00","1009.8","2023/11/03 14:12:00","25.4","31.4","2023/11/03 12:41:00","21.3","2023/11/03 06:12:00","22.1","83","52","2023/11/03 11:29:00","0.8","300","7.2","280","2023/11/03 12:43:00","0.0","0.0","0.0","0.0","9.3","83.4","18.17","10.2","3.7","6","2023/11/03 12:00:00","0.8","26.8","27.2","27.9","28.5","28.7","29.4","29.9"
"04","1012.3","1013.8","1013.6","2023/11/04 08:44:00","1010.7","2023/11/04 14:21:00","25.4","31.6","2023/11/04 12:35:00","21.6","2023/11/04 05:34:00","21.5","81","51","2023/11/04 14:31:00","0.9","290","6.3","250","2023/11/04 13:51:00","0.0","0.0","0.0","0.0","10.2","91.6","18.19","8.4","4.5","7","2023/11/04 13:00:00","0.6","26.8","27.3","27.9","28.6","28.7","29.4","29.8"
"05","1012.9","1014.4","1014.3","2023/11/05 20:25:00","1011.2","2023/11/05 14:21:00","25.7","32.0","2023/11/05 11:35:00","21.6","2023/11/05 05:53:00","21.6","80","50","2023/11/05 11:25:00","0.9","250","5.9","260","2023/11/05 14:08:00","0.0","0.0","0.0","0.0","10.2","91.8","17.94","9.0","3.7","7","2023/11/05 12:00:00","0.8","27.0","27.2","27.9","28.5","28.6","29.4","29.8"
"06","1013.3","1014.8","1015.1","2023/11/06 22:45:00","1011.4","2023/11/06 14:24:00","26.2","32.2","2023/11/06 11:13:00","21.3","2023/11/06 06:04:00","21.5","77","45","2023/11/06 11:06:00","1.0","290","7.0","280","2023/11/06 14:47:00","0.0","0.0","0.0","0.0","9.7","87.4","18.06","10.0","4.1","7","2023/11/06 12:00:00","1.8","27.4","27.3","28.0","28.6","28.7","29.4","29.8"
"07","1014.3","1015.8","1015.9","2023/11/07 09:04:00","1012.9","2023/11/07 13:56:00","26.1","31.4","2023/11/07 11:40:00","22.6","2023/11/07 23:42:00","22.1","79","57","2023/11/07 12:11:00","0.8","260","5.9","290","2023/11/07 12:24:00","0.0","0.0","0.0","0.0","4.9","44.2","13.72","8.8","6.4","5","2023/11/07 12:00:00","3.8","27.5","27.7","28.2","28.8","28.9","29.4","29.8"
"08","1014.1","1015.6","1015.5","2023/11/08 09:27:00","1012.6","2023/11/08 14:03:00","25.7","30.1","2023/11/08 12:53:00","22.2","2023/11/08 00:13:00","22.0","81","61","2023/11/08 12:42:00","1.0","280","6.3","220","2023/11/08 13:16:00","0.0","0.0","0.0","0.0","8.5","76.8","15.71","7.4","2.7","6","2023/11/08 13:00:00","3.6","27.5","27.7","28.2","28.8","28.9","29.4","29.8"
"09","1014.0","1015.5","1015.5","2023/11/09 09:29:00","1012.1","2023/11/09 15:58:00","26.0","31.6","2023/11/09 12:23:00","22.4","2023/11/09 04:39:00","22.4","83","55","2023/11/09 12:29:00","1.0","260","6.8","250","2023/11/09 13:21:00","0.0","0.0","0.0","0.0","8.6","77.8","17.13","10.4","3.3","7","2023/11/09 12:00:00","4.4","27.5","27.7","28.3","28.8","28.9","29.4","29.8"
"10","1014.4","1015.9","1015.9","2023/11/10 08:15:00","1012.1","2023/11/10 14:52:00","27.3","33.9","2023/11/10 12:18:00","22.6","2023/11/10 03:46:00","22.5","77","47","2023/11/10 11:47:00","0.9","300","6.7","260","2023/11/10 12:37:00","0.0","0.0","0.0","0.0","9.6","87.0","17.81","10.4","3.5","7","2023/11/10 12:00:00","1.2","27.9","27.9","28.4","28.8","28.9","29.4","29.8"
"11","1015.1","1016.6","1016.9","2023/11/11 22:39:00","1013.2","2023/11/11 15:04:00","26.2","31.0","2023/11/11 11:22:00","22.6","2023/11/11 06:06:00","22.4","81","63","2023/11/11 11:46:00","1.0","270","6.1","250","2023/11/11 13:02:00","0.0","0.0","0.0","0.0","7.6","69.0","15.62","8.8","4.2","6","2023/11/11 12:00:00","2.2","27.7","28.1","28.6","29.0","29.2","29.5","29.9"
"12","1016.4","1017.9","1018.4","2023/11/12 22:19:00","1014.1","2023/11/12 14:40:00","25.0","31.2","2023/11/12 13:32:00","22.0","2023/11/12 05:31:00","20.3","76","57","2023/11/12 13:32:00","0.7","350","5.2","270","2023/11/12 11:22:00","0.0","0.0","0.0","0.0","4.9","44.5","13.88","10.6","4.0","6","2023/11/12 12:00:00","5.8","27.1","27.7","28.4","29.0","29.2","29.6","29.9"
"13","1018.6","1020.1","1021.0","2023/11/13 22:10:00","1016.5","2023/11/13 14:04:00","23.3","29.9","2023/11/13 12:40:00","19.9","2023/11/13 06:01:00","17.3","70","53","2023/11/13 12:40:00","1.1","360","6.5","260","2023/11/13 13:04:00","0.0","0.0","0.0","0.0","6.6","60.1","14.40","14.8","6.2","6","2023/11/13 12:00:00","4.2","25.2","27.1","27.9","28.7","28.9","29.7","30.0"
