"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"ObsTime","StnPres","Geopotential Height","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm"
"01","766.6","3158.0","767.9","2024/01/01 09:33:00","765.6","2024/01/01 14:44:00","7.5","10.9","2024/01/01 12:35:00","4.3","2024/01/01 23:59:00","5.9","90","77","2024/01/01 12:13:00","0.7","310","4.7","340","2024/01/01 12:36:00","0.0","0.0","0.0","--","0.0","--","2.9","27.0","9.70","24.3","0.6","6.2","11.7","10.7","11.1","11.2","11.6"
"02","765.5","3143.4","766.6","2024/01/02 09:16:00","764.1","2024/01/02 15:04:00","7.2","10.9","2024/01/02 11:02:00","3.5","2024/01/02 00:14:00","5.2","88","72","2024/01/02 05:08:00","1.5","260","7.8","310","2024/01/02 13:39:00","0.0","0.0","0.0","--","0.0","--","1.3","12.2","9.96","23.4","1.3","8.2","10.5","9.5","10.0","10.5","11.1"
"03","764.9","3135.9","766.1","2024/01/03 08:47:00","764.0","2024/01/03 14:23:00","6.1","11.3","2024/01/03 12:26:00","2.8","2024/01/03 23:48:00","3.8","86","63","2024/01/03 09:24:00","1.0","260","5.2","350","2024/01/03 10:57:00","0.0","0.0","0.0","--","0.0","--","5.6","52.4","14.32","28.0","1.7","3.0","10.8","9.7","10.2","10.5","11.0"
"04","764.9","3132.0","766.2","2024/01/04 21:48:00","763.4","2024/01/04 02:36:00","4.5","8.9","2024/01/04 11:38:00","1.2","2024/01/04 21:09:00","-1.4","68","31","2024/01/04 19:32:00","1.1","230","5.1","170","2024/01/04 03:21:00","0.0","0.0","0.0","--","0.0","--","6.7","62.6","15.61","25.0","2.0","3.6","9.6","8.8","9.4","10.1","10.7"
"05","766.1","3144.9","767.5","2024/01/05 09:32:00","764.8","2024/01/05 14:16:00","5.3","11.0","2024/01/05 13:01:00","1.7","2024/01/05 04:11:00","-3.2","56","31","2024/01/05 10:52:00","1.2","270","6.1","330","2024/01/05 14:44:00","0.0","0.0","0.0","--","0.0","--","8.3","77.5","17.44","30.0","1.1","1.2","8.5","7.7","8.4","9.2","10.1"
"06","766.4","3150.2","768.0","2024/01/06 09:37:00","765.1","2024/01/06 15:03:00","5.8","10.8","2024/01/06 11:47:00","2.1","2024/01/06 00:48:00","-1.0","62","35","2024/01/06 11:28:00","1.0","260","4.9","270","2024/01/06 05:41:00","0.0","0.0","0.0","--","0.0","--","8.3","77.5","16.50","26.0","2.8","5.6","8.8","7.8","8.5","9.1","9.8"
"07","766.7","3151.6","768.6","2024/01/07 09:55:00","765.7","2024/01/07 01:12:00","5.3","9.3","2024/01/07 13:49:00","2.2","2024/01/07 00:11:00","2.6","83","62","2024/01/07 01:23:00","1.1","160","5.4","280","2024/01/07 13:29:00","0.0","0.0","0.0","--","0.0","--","2.5","23.2","12.37","10.1","3.0","8.2","8.9","7.9","8.4","8.9","9.7"
"08","765.8","3144.6","767.2","2024/01/08 09:21:00","764.7","2024/01/08 15:06:00","6.5","10.6","2024/01/08 11:34:00","3.4","2024/01/08 06:10:00","3.6","82","59","2024/01/08 10:34:00","0.8","10","5.2","280","2024/01/08 22:10:00","0.0","0.0","0.0","--","0.0","--","3.4","31.7","12.39","18.2","1.2","6.0","9.4","8.3","8.8","9.1","9.7"
"09","764.4","3133.0","765.9","2024/01/09 08:55:00","762.9","2024/01/09 15:29:00","7.4","11.6","2024/01/09 11:39:00","5.4","2024/01/09 23:55:00","6.4","94","66","2024/01/09 11:23:00","0.9","280","7.0","280","2024/01/09 20:44:00","0.0","0.0","0.0","--","0.0","--","4.0","37.3","13.22","6.5","2.0","6.8","10.8","9.5","9.8","9.7","10.1"
