"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","Geopotential Height","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","894.9","1459.1","895.9","2023/09/01 10:22:00","894.0","2023/09/01 05:13:00","22.5","27.6","2023/09/01 13:24:00","20.6","2023/09/01 05:59:00","21.9","97","76","2023/09/01 13:25:00","0.9","320","5.7","260","2023/09/01 16:07:00","8.0","3.1","4.0","2023/09/01 16:48:00","7.5","2023/09/01 16:48:00","2.5","19.8","10.35","25.6","-1.8","7","2023/09/01 14:00:00","7.0","24.5","24.4","24.5","24.7","25.1","25.2","24.7"
"02","893.6","1446.5","895.0","2023/09/02 08:42:00","892.4","2023/09/02 16:13:00","22.8","26.3","2023/09/02 11:03:00","20.7","2023/09/02 03:19:00","22.5","98","82","2023/09/02 11:07:00","0.6","270","3.7","320","2023/09/02 13:04:00","2.0","0.4","2.0","2023/09/02 13:04:00","2.0","2023/09/02 12:55:00","2.4","19.1","11.43","27.0","-1.9","7","2023/09/02 11:00:00","9.0","24.2","24.0","24.2","24.4","24.8","25.1","24.7"
"03","886.9","1381.1","893.0","2023/09/03 00:01:00","880.0","2023/09/03 18:19:00","22.1","26.5","2023/09/03 20:09:00","21.0","2023/09/03 17:01:00","21.5","97","62","2023/09/03 20:07:00","1.3","350","7.5","40","2023/09/03 18:14:00","24.0","13.3","2.5","2023/09/03 23:03:00","10.5","2023/09/03 23:01:00","0.0","0.0","3.66","3.1","-1.5","3","2023/09/03 15:00:00","10.0","23.5","23.8","24.0","24.3","24.7","25.0","24.7"
"04","889.3","1404.1","895.1","2023/09/04 22:36:00","884.7","2023/09/04 04:16:00","22.5","26.6","2023/09/04 13:21:00","20.6","2023/09/04 03:26:00","21.8","96","79","2023/09/04 05:59:00","1.3","350","8.6","210","2023/09/04 06:42:00","7.0","0.1","2.0","2023/09/04 00:03:00","5.5","2023/09/04 00:03:00","0.5","4.0","8.12","30.0","-0.6","7","2023/09/04 14:00:00","10.0","23.3","23.1","23.2","23.5","23.9","24.6","24.7"
"05","897.2","1480.7","899.5","2023/09/05 20:52:00","894.3","2023/09/05 01:29:00","22.2","26.3","2023/09/05 11:35:00","19.8","2023/09/05 22:17:00","21.9","98","86","2023/09/05 09:29:00","1.1","350","7.4","20","2023/09/05 18:36:00","68.0","7.7","7.0","2023/09/05 14:11:00","19.5","2023/09/05 13:50:00","0.7","5.6","8.11","19.0","-1.2","6","2023/09/05 12:00:00","9.8","23.4","23.2","23.5","23.5","23.9","24.5","24.6"
"06","899.9","1505.8","901.4","2023/09/06 20:46:00","898.5","2023/09/06 03:01:00","21.7","26.2","2023/09/06 10:41:00","20.0","2023/09/06 21:14:00","21.1","96","81","2023/09/06 10:45:00","1.1","180","5.3","160","2023/09/06 14:18:00","61.0","6.5","6.5","2023/09/06 19:35:00","28.5","2023/09/06 19:20:00","3.0","24.2","8.51","18.0","-0.6","7","2023/09/06 11:00:00","9.0","22.6","22.3","22.5","22.6","23.0","24.2","24.5"
"07","899.6","1502.7","900.9","2023/09/07 09:19:00","898.7","2023/09/07 15:22:00","21.5","25.1","2023/09/07 11:42:00","20.3","2023/09/07 19:19:00","21.0","97","86","2023/09/07 00:49:00","1.2","200","5.7","200","2023/09/07 20:27:00","34.0","7.8","7.5","2023/09/07 13:34:00","15.5","2023/09/07 13:20:00","0.2","1.6","7.12","24.0","-2.1","8","2023/09/07 12:00:00","9.4","22.2","22.1","22.1","22.2","22.6","23.8","24.3"
"08","899.6","1502.4","900.7","2023/09/08 08:13:00","898.6","2023/09/08 14:06:00","21.4","25.9","2023/09/08 11:01:00","20.1","2023/09/08 05:34:00","21.3","99","89","2023/09/08 11:09:00","0.9","290","6.8","250","2023/09/08 14:48:00","47.0","5.3","10.0","2023/09/08 15:03:00","26.0","2023/09/08 14:36:00","1.0","8.1","9.23","22.0","-0.9","7","2023/09/08 11:00:00","9.0","22.8","22.4","22.4","22.5","22.9","23.7","24.1"
"09","899.1","1496.7","900.0","2023/09/09 09:04:00","897.9","2023/09/09 15:59:00","20.7","24.0","2023/09/09 12:03:00","19.2","2023/09/09 20:47:00","20.7","100","97","2023/09/09 08:11:00","1.0","200","5.6","210","2023/09/09 14:49:00","54.0","8.3","9.5","2023/09/09 16:25:00","29.0","2023/09/09 16:05:00","1.0","8.1","7.94","14.0","-0.6","7","2023/09/09 13:00:00","9.0","22.4","22.3","22.4","22.4","22.8","23.6","23.9"
"10","898.6","1492.0","900.7","2023/09/10 21:37:00","897.4","2023/09/10 14:37:00","21.3","24.9","2023/09/10 13:34:00","19.3","2023/09/10 00:01:00","21.0","99","80","2023/09/10 10:34:00","1.2","320","5.0","220","2023/09/10 19:20:00","0.5","0.8","0.5","2023/09/10 05:30:00","0.5","2023/09/10 05:30:00","1.5","12.1","9.53","28.0","-2.2","6","2023/09/10 11:00:00","9.8","22.5","22.0","22.1","22.1","22.6","23.4","23.8"
"11","899.0","1496.4","900.4","2023/09/11 20:53:00","897.8","2023/09/11 00:41:00","21.8","26.0","2023/09/11 12:25:00","19.8","2023/09/11 02:05:00","21.2","97","81","2023/09/11 12:26:00","0.9","200","5.0","200","2023/09/11 01:50:00","0.0","0.0","0.0","--","0.0","--","3.6","29.3","13.76","27.0","2.2","7","2023/09/11 11:00:00","7.6","23.2","22.6","22.8","22.7","23.1","23.4","23.7"
"12","898.9","1496.6","900.1","2023/09/12 21:36:00","897.7","2023/09/12 16:25:00","21.7","26.1","2023/09/12 13:03:00","19.6","2023/09/12 06:06:00","21.1","97","78","2023/09/12 12:52:00","0.7","300","3.6","260","2023/09/12 16:25:00","0.0","0.0","0.0","--","0.0","--","2.5","20.4","11.17","23.0","2.2","7","2023/09/12 13:00:00","7.4","23.2","23.0","23.1","23.1","23.4","23.6","23.7"
"13","899.1","1498.6","900.2","2023/09/13 22:58:00","898.2","2023/09/13 16:36:00","22.0","26.7","2023/09/13 13:36:00","19.3","2023/09/13 04:29:00","21.1","95","75","2023/09/13 13:37:00","0.7","290","3.6","310","2023/09/13 13:50:00","0.0","0.0","0.0","--","0.0","--","4.6","37.6","13.60","24.0","2.4","7","2023/09/13 14:00:00","6.0","23.3","22.9","23.1","23.1","23.5","23.7","23.8"
"14","899.9","1507.2","901.7","2023/09/14 21:55:00","898.7","2023/09/14 04:23:00","22.5","28.0","2023/09/14 14:16:00","19.2","2023/09/14 05:08:00","21.0","92","68","2023/09/14 14:17:00","0.8","300","3.9","270","2023/09/14 16:15:00","0.0","0.0","0.0","--","0.0","--","6.8","55.7","17.51","23.0","3.3","8","2023/09/14 13:00:00","4.8","23.6","23.2","23.3","23.3","23.7","23.8","23.8"
