"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm"
"01","1014.6","1026.1","1017.5","2024/03/01 21:56:00","1011.9","2024/03/01 02:37:00","8.0","9.9","2024/03/01 11:47:00","5.7","2024/03/01 21:52:00","6.1","88","70","2024/03/01 07:32:00","5.0","60","14.7","70","2024/03/01 22:16:00","6.5","5.0","1.0","2024/03/01 17:01:00","2.5","2024/03/01 16:36:00","0.0","0.0","3.15","37.0","-0.5","3","2024/03/01 12:00:00","10.0","9.8","11.2","11.8","13.4","13.7"
"02","1014.5","1026.0","1016.8","2024/03/02 00:12:00","1012.0","2024/03/02 14:41:00","7.1","8.9","2024/03/02 14:46:00","6.0","2024/03/02 00:35:00","1.9","69","61","2024/03/02 13:13:00","4.0","50","14.4","70","2024/03/02 00:32:00","0.0","0.0","0.0","--","0.0","--","0.6","5.2","6.88","22.0","2.2","5","2024/03/02 13:00:00","10.0","8.6","9.9","10.3","12.3","12.7"
"03","1010.9","1022.2","1013.2","2024/03/03 00:27:00","1008.3","2024/03/03 16:23:00","9.6","13.5","2024/03/03 13:39:00","6.9","2024/03/03 03:57:00","4.5","71","50","2024/03/03 13:48:00","2.8","20","8.0","360","2024/03/03 21:01:00","0.0","0.0","0.0","--","0.0","--","5.2","44.6","15.02","20.0","-3.1","8","2024/03/03 13:00:00","6.6","10.8","11.4","11.4","12.6","12.8"
"04","1004.6","1015.8","1009.5","2024/03/04 00:15:00","1001.2","2024/03/04 16:35:00","12.6","16.8","2024/03/04 14:04:00","10.5","2024/03/04 00:02:00","9.8","83","66","2024/03/04 11:29:00","1.6","360","5.8","10","2024/03/04 01:25:00","T","0.3","T","2024/03/04 03:02:00","T","2024/03/04 03:02:00","1.0","8.6","7.48","13.6","-0.9","6","2024/03/04 12:00:00","9.4","13.2","13.5","13.3","13.8","13.8"
"05","997.3","1008.2","1002.0","2024/03/05 00:08:00","993.5","2024/03/05 15:09:00","17.6","22.9","2024/03/05 13:10:00","12.1","2024/03/05 00:07:00","16.1","91","79","2024/03/05 12:50:00","6.0","210","21.3","210","2024/03/05 14:49:00","0.0","0.0","0.0","--","0.0","--","4.7","40.3","8.48","7.6","-3.8","6","2024/03/05 12:00:00","7.6","16.2","15.7","15.2","14.9","14.7"
"06","1004.9","1016.1","1010.3","2024/03/06 23:12:00","997.5","2024/03/06 00:01:00","11.1","20.0","2024/03/06 00:08:00","8.7","2024/03/06 23:35:00","10.1","94","87","2024/03/06 15:48:00","3.6","70","12.0","220","2024/03/06 00:04:00","2.5","1.9","1.0","2024/03/06 22:45:00","2.0","2024/03/06 22:45:00","0.0","0.0","1.49","20.2","-0.6","3","2024/03/06 12:00:00","10.0","13.8","14.9","15.2","15.9","15.8"
"07","1010.2","1021.5","1012.4","2024/03/07 09:17:00","1008.5","2024/03/07 02:19:00","10.4","14.0","2024/03/07 13:23:00","8.3","2024/03/07 01:28:00","5.6","73","50","2024/03/07 14:43:00","3.7","70","11.0","60","2024/03/07 00:21:00","1.5","0.9","0.5","2024/03/07 00:22:00","1.5","2024/03/07 00:22:00","7.9","67.2","13.26","11.2","4.0","7","2024/03/07 13:00:00","4.6","12.1","13.2","13.5","14.8","15.0"
"08","1012.8","1024.1","1015.2","2024/03/08 23:47:00","1010.8","2024/03/08 03:38:00","11.0","14.9","2024/03/08 12:45:00","8.8","2024/03/08 03:47:00","5.6","70","50","2024/03/08 16:39:00","2.9","60","8.4","20","2024/03/08 23:07:00","0.0","0.0","0.0","--","0.0","--","10.4","88.3","13.52","15.8","-3.8","8","2024/03/08 13:00:00","0.0","12.6","13.5","13.7","14.9","15.0"
"09","1014.9","1026.3","1016.9","2024/03/09 11:09:00","1012.2","2024/03/09 02:38:00","9.5","11.3","2024/03/09 10:42:00","8.6","2024/03/09 07:20:00","4.1","69","57","2024/03/09 14:56:00","3.6","40","9.2","10","2024/03/09 03:23:00","T","0.7","T","2024/03/09 06:44:00","T","2024/03/09 06:44:00","0.0","0.0","4.29","11.4","-1.5","3","2024/03/09 13:00:00","10.0","10.9","12.2","12.8","14.7","14.9"
