期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
21.8,T,9.7,6.961
24.0,0.0,9.9,6.742
23.8,0.0,3.7,4.664
25.2,0.0,9.3,7.333
26.9,0.0,9.3,6.806
26.5,2.0,3.5,5.167
22.8,27.5,0.1,1.475
19.5,39.5,0.0,1.486
20.4,0.0,0.0,3.511
22.0,0.0,9.5,7.15
23.4,T,1.8,4.561
23.1,T,0.1,2.531
22.9,T,0.0,1.828
23.1,T,0.0,2.161
23.9,0.0,3.6,4.806
24.3,0.0,10.7,7.108
26.5,0.0,8.0,6.778
28.1,16.5,9.3,7.019
23.7,205.5,0.5,1.339
24.1,22.0,0.5,1.758
26.6,1.0,2.9,3.853
26.9,48.0,3.6,4.842
21.7,2.0,1.5,4.064
23.3,2.0,2.2,4.347
25.3,0.5,7.2,5.8
26.0,0.0,9.6,6.8
26.9,0.0,10.9,7.594
27.6,0.0,12.5,7.806
28.5,0.0,13.0,8.136
27.2,T,6.6,6.589
26.5,T,0.1,2.556
26.9,T,3.2,4.597
27.8,T,10.6,7.414
28.5,0.0,7.9,6.392
28.1,0.0,7.9,6.781
28.1,T,9.2,7.164
28.1,0.0,12.7,7.903
28.5,0.0,10.4,7.644
28.4,0.0,4.2,5.772
28.2,1.5,7.3,6.886
27.2,4.0,3.8,5.261
26.6,2.5,0.3,2.892
26.7,0.5,0.2,3.206
26.4,0.0,9.4,6.764
26.9,T,1.8,4.133
24.6,18.0,0.2,2.711
26.8,22.0,4.0,5.144
27.4,14.0,0.9,2.911
28.6,T,7.4,6.883
28.5,0.0,0.6,3.794
29.3,0.0,12.4,7.928
29.2,0.0,11.9,7.267
28.2,0.0,3.8,2.981
28.2,2.5,8.9,6.806
28.1,17.5,10.3,7.428
28.5,0.0,11.8,7.736
28.8,T,8.0,6.139
28.5,0.0,10.4,7.014
28.9,0.0,5.6,6.133
29.0,0.0,12.0,7.764
29.2,0.0,10.9,7.767
29.4,0.0,6.8,6.572
29.3,T,9.8,6.756
29.4,0.0,12.7,7.867
30.0,0.0,12.7,7.525
30.3,0.0,12.1,7.7
29.9,0.0,12.4,7.922
30.0,0.0,12.8,7.922
29.9,0.0,12.9,7.95
29.6,0.0,11.4,7.683
29.5,0.0,11.9,7.925
29.6,0.0,8.7,7.456
29.5,0.0,12.6,7.833
29.4,0.0,12.3,7.811
30.3,0.0,11.9,7.592
30.1,0.0,8.8,6.217
30.6,0.0,11.3,7.581
30.7,0.0,9.7,7.294
29.2,0.0,0.5,3.4
30.1,0.0,12.2,7.65
29.6,6.5,10.5,7.636
30.0,0.0,10.4,7.269
29.8,T,9.4,7.258
29.4,T,9.2,6.344
29.5,0.0,10.1,6.847
31.1,0.0,12.9,7.75
29.6,T,0.1,2.608
30.0,T,1.7,3.039
27.4,0.5,0.0,0.778
28.7,2.5,2.1,4.686
28.4,0.0,2.4,4.194
28.3,T,1.7,3.942
28.5,0.5,4.6,5.161
28.8,47.0,2.6,4.697
28.9,3.0,0.1,2.142
29.3,2.5,4.2,5.175
28.2,45.5,2.6,3.614
29.8,0.0,11.6,7.1
29.7,0.0,8.8,6.478
29.4,0.0,3.0,4.106
29.9,0.0,9.7,6.928
28.7,7.5,6.8,6.258
27.6,3.5,4.9,5.331
28.8,0.0,9.8,6.919
29.5,0.0,8.8,6.664
30.1,0.0,11.8,7.256
30.1,0.0,11.7,7.456
27.3,35.0,0.2,0.6
27.6,13.5,8.7,6.511
27.5,23.5,7.5,6.314
27.6,15.5,4.1,4.975
27.9,0.0,8.5,6.319
28.7,0.0,11.7,7.236
29.2,0.0,11.9,7.561
29.2,0.0,10.0,7.178
29.0,0.0,9.7,5.558
29.0,0.0,9.9,6.839
29.7,0.0,8.9,5.858
29.0,0.0,11.3,6.567
28.9,0.0,11.7,6.978
30.4,0.0,10.1,6.575
31.1,0.0,11.2,7.367
29.8,0.0,6.4,5.264
28.8,T,8.5,6.778
28.7,5.5,3.9,3.283
28.5,0.5,0.6,2.183
28.4,5.5,0.0,1.189
27.9,5.5,2.8,4.35
27.0,6.0,2.3,3.328
27.6,T,2.5,4.761
26.5,11.0,0.4,2.572
26.1,0.0,3.5,4.758
26.2,0.0,11.9,7.058
26.4,0.0,10.9,6.933
27.2,0.0,11.2,6.792
27.5,0.0,8.9,5.997
27.6,0.0,7.9,5.881
27.9,0.0,9.1,6.611
28.1,0.0,9.8,6.292
28.4,0.0,8.6,5.903
28.3,0.0,9.0,5.936
28.9,0.0,9.3,6.061
28.6,0.0,7.5,5.814
28.6,0.0,9.0,5.631
29.1,0.0,8.6,5.778
30.0,0.0,9.9,5.794
29.2,0.0,8.8,5.958
28.9,0.0,11.5,6.419
29.0,0.0,11.5,6.386
29.0,0.0,9.6,5.928
29.0,T,9.3,6.286
29.2,0.0,9.0,5.861
28.8,0.0,11.4,6.358
27.9,T,8.7,5.892
26.3,1.0,3.1,3.028
26.4,0.0,1.2,2.239
26.0,12.5,0.0,0.858
25.6,12.5,0.5,2.675
26.0,2.0,2.3,3.917
25.7,3.0,0.4,2.783
25.0,1.0,0.0,1.633
24.5,4.0,0.4,2.344
24.3,2.0,1.4,2.6
24.7,T,8.2,5.625
25.0,0.0,9.9,5.631
24.9,0.0,10.1,5.717
24.2,0.0,3.0,3.072
23.8,0.0,5.3,4.808
24.9,0.0,10.4,5.622
25.1,0.0,5.9,5.008
25.7,0.0,9.2,5.386
25.6,T,7.6,4.992
23.6,8.5,0.0,1.494
22.3,0.5,0.0,1.675
23.9,0.0,1.5,3.386
25.2,0.0,5.0,4.228
25.0,0.0,5.5,4.103
25.0,0.0,10.2,5.358
24.8,0.0,9.2,4.811
24.1,T,0.4,2.058
22.1,6.5,0.4,2.008
23.3,0.0,1.1,2.528
23.9,T,3.3,3.803
24.3,0.0,8.6,4.994
16.7,3.0,0.0,0.597
18.1,T,1.1,2.356
19.2,T,0.8,1.9
19.2,55.0,0.0,0.597
19.1,1.5,0.0,0.947
18.6,0.5,0.0,0.347
18.6,0.0,9.9,4.458
18.5,0.0,9.3,4.244
20.4,0.0,7.0,3.744
21.9,0.0,6.4,3.797
24.4,0.0,1.9,2.661
20.0,2.0,0.0,1.086
20.8,0.0,8.5,4.347
21.8,0.0,10.1,4.414
23.1,0.0,9.0,4.319
15.1,4.5,0.0,0.931
14.0,T,0.4,1.806
19.4,0.0,4.4,3.408
17.7,2.5,0.1,1.039
14.4,6.0,0.0,0.628
11.5,T,0.0,0.322
11.1,T,1.9,2.244
15.0,3.5,0.1,2.019
13.9,3.0,0.2,0.781
14.4,0.0,8.9,4.378
18.2,0.0,8.5,4.189
18.6,0.5,1.5,1.939
19.1,5.0,0.0,0.592
19.0,T,0.5,1.911
17.9,T,0.4,1.728
17.8,T,5.7,3.558
16.9,0.0,6.5,3.719
18.3,0.0,9.5,4.281
15.5,T,0.0,0.489
15.3,0.0,4.6,3.103
15.5,0.0,3.2,2.567
16.8,0.0,9.4,4.317
17.2,0.0,8.4,3.85
18.7,T,3.1,3.275
17.7,6.5,0.1,1.522
16.0,0.0,4.2,2.725
13.8,0.0,8.3,4.131
14.7,0.0,7.7,4.064
17.2,0.0,10.3,4.783
18.0,0.0,10.1,4.564
16.1,T,0.8,1.283
17.5,T,9.1,4.572
18.7,0.0,9.3,4.369
19.0,0.0,5.9,4.214
19.6,0.0,0.7,2.344
18.4,1.0,0.0,0.9
14.3,2.5,0.0,0.681
11.4,16.0,0.0,0.606
8.1,14.0,0.0,0.231
10.6,0.0,0.0,1.492
11.3,2.5,0.0,0.256
13.1,0.0,0.0,1.472
13.6,T,0.0,0.517
13.7,T,0.2,2.033
17.6,0.5,5.6,4.103
16.8,T,0.4,1.761
18.6,0.0,5.9,4.303
19.4,0.0,7.0,4.508
17.6,T,0.0,1.242
17.4,T,1.0,2.131
17.5,1.5,1.9,2.869
16.0,26.0,0.0,0.867
16.1,0.0,0.2,1.933
13.8,17.0,0.0,0.597
12.6,5.5,0.0,0.394
11.7,10.0,0.0,0.522
13.2,0.0,3.0,3.544
15.3,0.0,10.6,5.806
17.3,0.0,10.6,5.736
14.6,0.0,10.4,5.628
17.0,0.0,10.6,5.561
18.7,0.0,10.3,5.342
14.3,0.5,0.0,1.044
15.5,0.0,0.0,1.908
19.2,0.0,8.3,5.45
22.4,0.0,8.7,5.497
23.5,T,6.2,4.717
23.9,0.0,7.9,5.272
18.3,0.0,0.0,1.583
14.4,T,0.0,1.656
14.5,T,1.1,1.697
13.0,0.5,0.0,1.194
12.7,0.5,0.0,0.722
13.5,0.5,0.0,0.739
15.6,T,0.0,1.478
16.6,1.0,4.3,3.917
11.3,13.0,0.0,0.422
11.3,6.0,0.0,0.4
14.6,T,2.0,2.619
16.7,0.0,3.8,3.611
22.8,0.0,8.5,4.928
16.7,10.5,0.0,0.506
13.9,17.5,0.0,0.439
14.1,0.0,9.8,5.728
13.6,T,0.1,0.978
16.9,T,0.2,2.272
15.7,25.0,0.7,0.969
17.1,2.0,10.7,6.814
18.8,0.0,7.1,5.322
17.9,T,1.2,3.183
17.3,T,0.0,0.922
18.3,T,0.1,2.158
19.9,T,5.2,5.228
17.3,T,2.0,3.153
14.6,3.5,1.6,2.344
16.2,0.0,9.3,6.239
19.0,0.0,6.7,5.656
20.5,0.0,5.1,5.25
23.4,0.0,6.6,4.844
24.7,2.0,7.0,5.478
24.9,0.0,4.0,4.725
20.6,0.0,4.0,4.331
20.1,0.0,4.8,5.372
23.3,0.0,5.1,4.986
23.5,0.0,8.4,5.556
23.7,4.0,1.7,2.878
24.3,67.5,1.9,2.908
24.1,4.5,3.3,4.344
25.3,0.0,9.7,6.639
26.9,0.0,10.2,6.436
24.5,T,6.7,5.536
20.9,T,0.0,1.683
21.7,5.0,1.9,2.775
22.2,8.5,0.8,3.525
22.0,16.0,0.1,1.458
19.3,0.5,0.0,1.661
21.9,0.0,0.0,1.569
23.3,0.0,3.6,4.833
23.4,0.0,3.1,3.958
24.6,0.0,2.5,4.389
24.4,0.0,0.0,1.969
26.2,0.0,9.4,6.289
25.3,T,0.7,2.942
25.8,T,5.3,5.428
23.3,22.5,0.0,2.583
23.8,T,3.8,4.544
