經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m)
119.5631°E,23.5655°N,23.6,68,0.0,10.9,7.067,29.0,3.8,81,晴天,10.7
119.5631°E,23.5655°N,23.7,82,0.0,7.8,6.411,14.8,6.8,82,多雲有靄,10.7
119.5631°E,23.5655°N,25.0,80,0.0,8.6,6.547,21.4,5.8,82,多雲有靄,10.7
119.5631°E,23.5655°N,26.8,79,0.0,10.9,7.514,24.0,2.4,82,晴有靄,10.7
119.5631°E,23.5655°N,27.6,82,0.0,10.8,7.589,24.0,1.8,83,晴有靄,10.7
119.5631°E,23.5655°N,27.5,87,0.0,9.7,7.35,25.0,5.6,83,多雲有靄,10.7
119.5631°E,23.5655°N,25.1,92,66.0,0.0,1.039,14.4,10.0,83,陰有雨,10.7
119.5631°E,23.5655°N,22.6,71,0.0,3.7,4.492,16.0,8.0,84,多雲,10.7
119.5631°E,23.5655°N,23.4,72,0.0,7.5,6.156,21.2,5.4,84,多雲,10.7
119.5631°E,23.5655°N,23.8,82,0.0,0.2,3.594,17.2,9.0,84,陰有靄,10.7
119.5631°E,23.5655°N,24.1,83,0.0,3.3,5.319,14.4,7.8,84,多雲有靄,10.7
119.5631°E,23.5655°N,25.5,77,0.0,2.1,4.356,16.4,7.8,85,多雲有靄,10.7
119.5631°E,23.5655°N,27.0,80,0.0,11.1,7.531,17.6,1.0,86,晴有靄,10.7
119.5631°E,23.5655°N,27.2,92,1.5,1.6,4.125,20.6,7.8,86,多雲有雨,10.7
119.5631°E,23.5655°N,26.3,93,5.0,0.4,2.25,5.0,9.6,86,陰有雨,10.7
119.5631°E,23.5655°N,27.1,88,0.0,7.0,6.244,9.2,5.6,86,多雲有靄,10.7
119.5631°E,23.5655°N,27.8,91,7.5,9.3,6.731,17.8,5.0,87,多雲有雨,10.7
119.5631°E,23.5655°N,27.7,91,0.0,7.1,5.839,28.0,7.2,87,多雲有靄,10.7
119.5631°E,23.5655°N,24.7,81,2.0,5.5,5.781,12.0,5.8,87,多雲有雨,10.7
119.5631°E,23.5655°N,24.9,77,0.0,3.0,4.475,21.2,7.6,87,多雲有靄,10.7
119.5631°E,23.5655°N,26.3,83,0.0,8.6,6.783,22.2,5.2,87,多雲有靄,10.7
119.5631°E,23.5655°N,27.0,83,0.0,11.1,7.611,25.0,2.6,88,晴有靄,10.7
119.5631°E,23.5655°N,26.7,85,0.0,11.2,7.622,19.0,2.4,88,晴有靄,10.7
119.5631°E,23.5655°N,26.6,83,0.0,8.7,7.228,22.0,4.6,88,多雲有靄,10.7
119.5631°E,23.5655°N,27.1,86,0.0,0.8,3.983,10.0,9.4,88,陰有靄,10.7
119.5631°E,23.5655°N,27.3,83,0.0,10.1,7.469,25.0,2.6,88,晴有靄,10.7
119.5631°E,23.5655°N,28.3,86,0.0,6.9,5.786,23.0,5.4,89,多雲有靄,10.7
119.5631°E,23.5655°N,28.4,90,18.5,8.4,7.186,26.0,4.8,89,多雲有雨,10.7
