地點,日期,Unnamed: 2,天文曙光始,航海曙光始,民用曙光始,Unnamed: 6,日出時刻,方位,Unnamed: 9,過中天,仰角,Unnamed: 12,日沒時刻,方位.1,Unnamed: 15,民用暮光終,航海暮光終,天文暮光終
金門縣,2023-01-01,,05:30:00,05:57:00,06:26:00,,06:50:00,115,,12:10:00,43S,,17:30:00,245,,17:55:00,18:23:00,18:51:00
金門縣,2023-01-02,,05:30:00,05:58:00,06:26:00,,06:51:00,115,,12:11:00,43S,,17:30:00,245,,17:55:00,18:24:00,18:51:00
金門縣,2023-01-03,,05:30:00,05:58:00,06:26:00,,06:51:00,115,,12:11:00,43S,,17:31:00,245,,17:56:00,18:24:00,18:52:00
金門縣,2023-01-04,,05:31:00,05:58:00,06:27:00,,06:51:00,115,,12:12:00,43S,,17:32:00,245,,17:57:00,18:25:00,18:53:00
金門縣,2023-01-05,,05:31:00,05:59:00,06:27:00,,06:52:00,115,,12:12:00,43S,,17:33:00,245,,17:57:00,18:25:00,18:53:00
金門縣,2023-01-06,,05:31:00,05:59:00,06:27:00,,06:52:00,115,,12:12:00,43S,,17:33:00,246,,17:58:00,18:26:00,18:54:00
金門縣,2023-01-07,,05:31:00,05:59:00,06:27:00,,06:52:00,114,,12:13:00,43S,,17:34:00,246,,17:59:00,18:27:00,18:54:00
金門縣,2023-01-08,,05:32:00,05:59:00,06:27:00,,06:52:00,114,,12:13:00,43S,,17:35:00,246,,17:59:00,18:27:00,18:55:00
金門縣,2023-01-09,,05:32:00,05:59:00,06:28:00,,06:52:00,114,,12:14:00,43S,,17:35:00,246,,18:00:00,18:28:00,18:56:00
金門縣,2023-01-10,,05:32:00,06:00:00,06:28:00,,06:52:00,114,,12:14:00,44S,,17:36:00,246,,18:01:00,18:29:00,18:56:00
金門縣,2023-01-11,,05:32:00,06:00:00,06:28:00,,06:52:00,114,,12:15:00,44S,,17:37:00,246,,18:01:00,18:29:00,18:57:00
金門縣,2023-01-12,,05:32:00,06:00:00,06:28:00,,06:52:00,114,,12:15:00,44S,,17:37:00,247,,18:02:00,18:30:00,18:58:00
金門縣,2023-01-13,,05:32:00,06:00:00,06:28:00,,06:53:00,113,,12:15:00,44S,,17:38:00,247,,18:03:00,18:31:00,18:58:00
金門縣,2023-01-14,,05:33:00,06:00:00,06:28:00,,06:53:00,113,,12:16:00,44S,,17:39:00,247,,18:03:00,18:31:00,18:59:00
