地點,日期,Unnamed: 2,天文曙光始,航海曙光始,民用曙光始,Unnamed: 6,日出時刻,方位,Unnamed: 9,過中天,仰角,Unnamed: 12,日沒時刻,方位.1,Unnamed: 15,民用暮光終,航海暮光終,天文暮光終
連江縣,2023-01-01,,05:25:00,05:54:00,06:22:00,,06:48:00,115,,12:04:00,41S,,17:20:00,245,,17:45:00,18:14:00,18:42:00
連江縣,2023-01-02,,05:26:00,05:54:00,06:23:00,,06:48:00,115,,12:04:00,41S,,17:20:00,245,,17:46:00,18:14:00,18:42:00
連江縣,2023-01-03,,05:26:00,05:54:00,06:23:00,,06:48:00,115,,12:05:00,41S,,17:21:00,245,,17:46:00,18:15:00,18:43:00
連江縣,2023-01-04,,05:26:00,05:55:00,06:23:00,,06:48:00,115,,12:05:00,41S,,17:22:00,245,,17:47:00,18:15:00,18:44:00
連江縣,2023-01-05,,05:27:00,05:55:00,06:23:00,,06:49:00,115,,12:05:00,41S,,17:22:00,245,,17:48:00,18:16:00,18:44:00
連江縣,2023-01-06,,05:27:00,05:55:00,06:24:00,,06:49:00,115,,12:06:00,41S,,17:23:00,245,,17:48:00,18:17:00,18:45:00
連江縣,2023-01-07,,05:27:00,05:55:00,06:24:00,,06:49:00,115,,12:06:00,41S,,17:24:00,245,,17:49:00,18:17:00,18:46:00
連江縣,2023-01-08,,05:27:00,05:55:00,06:24:00,,06:49:00,115,,12:07:00,42S,,17:25:00,245,,17:50:00,18:18:00,18:46:00
連江縣,2023-01-09,,05:28:00,05:56:00,06:24:00,,06:49:00,114,,12:07:00,42S,,17:25:00,246,,17:50:00,18:19:00,18:47:00
連江縣,2023-01-10,,05:28:00,05:56:00,06:24:00,,06:49:00,114,,12:08:00,42S,,17:26:00,246,,17:51:00,18:19:00,18:48:00
連江縣,2023-01-11,,05:28:00,05:56:00,06:24:00,,06:49:00,114,,12:08:00,42S,,17:27:00,246,,17:52:00,18:20:00,18:48:00
連江縣,2023-01-12,,05:28:00,05:56:00,06:24:00,,06:49:00,114,,12:08:00,42S,,17:28:00,246,,17:52:00,18:21:00,18:49:00
連江縣,2023-01-13,,05:28:00,05:56:00,06:24:00,,06:49:00,114,,12:09:00,42S,,17:28:00,246,,17:53:00,18:22:00,18:50:00
連江縣,2023-01-14,,05:28:00,05:56:00,06:25:00,,06:49:00,114,,12:09:00,42S,,17:29:00,247,,17:54:00,18:22:00,18:50:00
連江縣,2023-01-15,,05:28:00,05:56:00,06:25:00,,06:49:00,113,,12:09:00,43S,,17:30:00,247,,17:55:00,18:23:00,18:51:00
連江縣,2023-01-16,,05:28:00,05:56:00,06:24:00,,06:49:00,113,,12:10:00,43S,,17:31:00,247,,17:55:00,18:24:00,18:52:00
連江縣,2023-01-17,,05:28:00,05:56:00,06:24:00,,06:49:00,113,,12:10:00,43S,,17:31:00,247,,17:56:00,18:24:00,18:52:00
連江縣,2023-01-18,,05:28:00,05:56:00,06:24:00,,06:49:00,113,,12:11:00,43S,,17:32:00,247,,17:57:00,18:25:00,18:53:00
連江縣,2023-01-19,,05:28:00,05:56:00,06:24:00,,06:49:00,112,,12:11:00,43S,,17:33:00,248,,17:58:00,18:26:00,18:54:00
連江縣,2023-01-20,,05:28:00,05:56:00,06:24:00,,06:49:00,112,,12:11:00,44S,,17:34:00,248,,17:58:00,18:26:00,18:54:00
連江縣,2023-01-21,,05:28:00,05:56:00,06:24:00,,06:49:00,112,,12:11:00,44S,,17:34:00,248,,17:59:00,18:27:00,18:55:00
