"經度,緯度",南北半球,產生時間(mins),設備容量(kW),天氣現象,面板溫度(°),期間平均室外溫度(°),期間平均太陽輻射量(kW/m2),期間降雨量(mm),雲層覆蓋率(%),遮蔽率(%),故障率(%),擺放角度(°),期間平均日照時數(h),太陽照射角度(°),海拔(m)
"80.20096887010027,-74.43510156913659",南半球,22,9093,4,39.80657871098511,30.97777066272121,7.2482690694739,110,27.77393546062136,12,37,74,17.334255489450875,52,5324
"-98.8983958607386,49.10511212675789",北半球,118,2864,1,34.42918104754273,39.00916550115438,10.154671860957219,38,38.12141947301061,48,3,2,14.850859326477453,0,3179
"-65.53603126767725,87.12536790001991",北半球,52,8153,2,36.70443353306386,39.24301455718277,8.35308935255856,177,36.8752514271104,56,17,55,15.149939657493503,25,4965
"81.64048182116744,-66.25900298966548",南半球,60,8828,6,28.2036374137168,30.476636539879525,3.08503399245673,36,64.79745016628752,47,20,25,8.448611960090995,75,2704
"-162.56040012207944,58.34565839813084",北半球,69,2024,1,29.047251844206684,27.279501655200807,8.884690281113137,82,42.348960596608585,93,68,88,13.836249456813938,18,6655
"94.435640445633,22.864046879389022",北半球,98,1825,1,12.904521111614011,16.18993344503819,5.644143404785193,8,46.3849427458299,37,7,22,12.867613741000824,70,1295
"56.3313713188339,48.290738303924655",北半球,95,1269,8,14.491711008351619,15.644638246432208,4.824477347883524,43,57.01289566744649,24,15,84,10.316905039812841,23,7281
"23.248814008745114,44.96013045910962",北半球,99,5754,4,21.25807558225314,12.567006370937651,5.0750710440993485,84,62.469976806055975,26,18,33,9.007205566546565,37,3130
"134.18141034230143,45.52443838034537",北半球,42,7931,1,15.509394161467426,22.79225110713415,5.655368176147084,9,54.36361202314277,21,78,73,10.952733114445735,65,504
"-61.39699096783505,60.42228501958115",北半球,110,7012,1,22.55284194831715,26.42911248942849,5.583830590686047,0,60.96305281419425,12,2,45,9.36886732459338,44,6883
"-28.91969407839545,86.10001661036179",北半球,14,8176,3,9.73177259708314,16.15683284290059,3.9588523073390793,179,65.62057363420716,35,0,61,8.251062327790281,51,7458
"-87.85621505003485,36.525604208823026",北半球,93,8232,9,46.217817825293,40.288795244574956,9.987451098874347,155,29.879672525459384,13,59,19,16.828878593889748,6,91
"-96.87126353935419,-86.15505722255301",南半球,83,7122,5,23.907835566394887,30.498747782201757,4.924288271587109,111,57.99173585381156,64,82,64,10.081983395085226,15,6022
"89.53776802224587,75.97764069334136",北半球,67,2946,8,20.575245073089754,22.20019567686732,1.778916383993664,73,81.88325834371611,6,64,5,4.3480179975081334,31,7141
"-79.6662849460769,71.9924507481447",北半球,87,8747,5,34.96018912690639,33.566703496022164,5.3757356914142385,27,47.973452849900475,10,71,20,12.486371316023885,87,2599
"-124.55373373668095,54.848674787846676",北半球,19,6025,5,32.34055200023081,31.350178655360903,4.801972292783525,165,53.73012172841039,92,54,50,11.104770785181506,60,8014
"-157.06928149929826,-11.349581346734254",南半球,69,3106,7,33.57615057051221,23.851784612855234,8.809638746222213,25,35.4476928046349,73,28,73,15.492553726887625,83,5685
"22.898862693095822,45.838389890164336",北半球,68,4447,1,12.402469995848666,7.780282920110526,7.878394880076292,183,41.64930819998557,28,44,28,14.004166032003463,9,3310
"84.8039489958644,-37.26562227702194",南半球,84,1397,2,22.130233503600813,17.439751260589222,6.528402915863316,61,37.57575892587668,69,99,19,14.981817857789597,55,6385
"-33.362320400945066,76.1623986510831",北半球,116,360,9,34.52575266024863,29.425118646539154,5.3924168382736966,90,59.87973627867041,25,34,43,9.628863293119103,20,8357
"137.78762185464433,74.30186007298661",北半球,58,2211,2,9.03129104359007,20.5077316286482,5.64758031571994,11,38.085658417961575,94,87,22,14.85944197968922,53,1430
"-123.00922164026956,-56.25889009637576",南半球,68,5174,4,14.117792481081482,19.44568029210087,7.091050195421008,67,38.233941282108674,87,18,37,14.823854092293917,6,8362
"-128.53177848769502,42.30950729953091",北半球,20,9293,1,29.947656430821624,37.76974880878044,4.403285469935584,27,67.78800283093321,9,9,82,7.73087932057603,6,7535
"-28.289956796385923,56.50828023454969",北半球,63,9840,6,34.765622260576436,36.257957986319134,5.035702249475138,195,52.57532665989721,1,71,43,11.38192160162467,50,7563
"-31.00059304075924,88.65296550438643",北半球,69,112,3,12.117275692106329,9.527026162624562,4.614175452163482,101,63.35235377209947,26,23,88,8.795435094696128,4,5204
"60.056688973214904,-55.62067783167144",南半球,52,7456,5,19.37116380466225,22.917552953756054,3.4664049091810814,11,52.117764852042484,71,11,13,11.491736435509804,7,292
"-154.72862698319284,76.83153285308433",北半球,93,8554,5,30.402636819850166,31.63222297302105,3.269199780265732,74,77.7190768612786,7,9,72,5.347421553293136,27,4561
"112.63039541064194,65.01064229772064",北半球,106,1393,5,16.477525772474095,9.778074975083054,2.9534193027127724,122,75.42553398556572,20,32,45,5.897871843464227,83,1495
"45.854459640117085,-79.55070806545541",南半球,63,8994,3,12.807535571855999,14.050295187976818,6.006736994389503,111,58.365032307718145,61,85,12,9.992392246147645,65,6228
"176.72730911841694,-41.43155171602665",南半球,87,2930,3,48.023118261630664,41.57260431771034,9.555408588019938,76,30.33397368941219,8,63,34,16.719846314541076,85,870
"-82.52228013402818,-5.303132462835606",南半球,93,5474,3,23.712518875055324,20.970400470139914,6.1443603196928755,142,44.79853670051966,77,29,16,13.24835119187528,61,5589
"1.5831384853730412,13.038624958690164",北半球,26,2915,9,29.188415178803137,27.395692968791174,6.821892140623603,23,40.82610015190523,41,33,19,14.201735963542744,37,6197
"-91.66608480512484,-2.4633401852986054",南半球,117,1992,4,30.519656921586474,28.67763819461588,6.38543416062165,170,49.90297574119188,2,46,57,12.02328582211395,18,6427
"126.56509650123888,36.43671791917505",北半球,50,7194,9,21.645348869889666,22.425675171731292,6.526980769805406,11,35.69458557465232,45,9,8,15.433299462083445,12,2601
"138.82361881466556,26.642097101883294",北半球,50,1510,4,21.779698559296477,22.480426841242412,6.713798900451964,22,52.30136675612822,54,4,85,11.447671978529229,8,6223
"29.420678702481695,7.506752038776128",北半球,56,8324,3,43.166621049573735,35.531338336206275,4.355315982900847,159,69.15233783145612,30,58,21,7.4034389204505295,1,1281
"164.96938614577402,-42.46172762271861",南半球,35,3401,1,11.25408416203703,3.8857018302127457,7.079532846566473,117,48.79675929571016,82,15,68,12.288777769029561,88,3252
"-175.45302095977212,21.588697865680587",北半球,63,8286,2,20.329275502924002,24.28566270048721,4.9949290461413645,21,58.14341211446624,25,9,59,10.045581092528103,90,8836
"-86.3943885905001,-25.546739118037664",南半球,114,9607,8,35.639210646318794,40.54950608750444,6.151783097467741,161,60.36151383152195,48,88,82,9.513236680434733,12,5054
"-152.8056518950698,-58.183144524955935",南半球,97,244,7,35.341402948905746,22.87265693894855,7.213170357960041,6,46.676649048160904,22,67,18,12.797604228441383,6,7514
"59.99712306862307,-88.4179581226088",南半球,116,6353,8,17.035677278591898,19.826910155419135,5.55963136510271,54,57.80615356216334,41,40,0,10.1265231450808,10,5392
"119.34607357239838,-8.73268983947736",南半球,88,2061,1,18.1745093750794,22.03078772059918,9.665734206074054,112,22.294525499534117,19,59,3,18.649313880111812,41,4843
"-93.22820669275188,-61.40918421594155",南半球,113,9352,5,14.731556755826642,22.769700766877726,7.8412769392643815,100,45.04325638954104,16,25,11,13.18961846651015,58,5308
"-40.419584473007745,-2.707707334205935",南半球,86,9508,2,23.224686553059136,22.189924858988736,4.755027309985371,137,57.80427612203714,80,2,15,10.126973730711088,74,7045
"86.6679031188126,-49.35494106955377",南半球,21,1571,3,14.76031835869346,15.832697810564758,3.650353255639323,157,48.643723577227746,58,87,52,12.32550634146534,61,7770
"-65.39949039956822,-68.79245429598346",南半球,116,9410,8,34.00928147746199,26.85596490298343,5.910491677588586,6,55.96191533510915,4,23,85,10.569140319573805,37,7919
"-33.105564223081274,85.93069446251306",北半球,48,8272,2,34.4891657684968,32.43065873425208,4.9612317139810935,194,57.69330896871062,49,32,89,10.153605847509452,60,4328
"106.07991773521826,39.41843812963086",北半球,65,9358,3,45.03204250891577,41.80523101039139,5.315515111876338,67,37.79996366958969,10,39,22,14.928008719298475,77,7539
"51.971322589923915,-89.19562594548053",南半球,80,3574,6,33.09940709522865,34.51254302319268,7.53475240807518,79,37.13334890330119,6,19,63,15.087996263207714,23,3058
"137.2136486444042,37.005351037999745",北半球,86,4467,4,24.096333001536085,20.62872863577686,6.85511103341216,20,56.38702340580088,60,51,1,10.467114382607788,13,7342
"-51.863393633774365,-75.15291280929802",南半球,22,7876,8,29.19031883462462,32.1215588140883,6.0148841433363245,131,47.83540150337738,78,44,13,12.519503639189427,28,4433
"115.64911534726303,2.628602934442",北半球,47,6466,7,7.042076805653634,17.053316652971596,3.9313302418418816,74,48.29751137268471,36,93,30,12.40859727055567,9,4197
"-82.9022533770885,-57.71285800653524",南半球,57,3587,1,28.692268636617115,37.56315588713376,4.367893943808504,33,68.55276454415352,97,93,24,7.547336509403156,75,938
"-152.9600127449548,10.157705584970302",北半球,8,6306,7,9.442904389494217,10.597167067285461,9.647770314049813,7,29.742905473534407,63,69,12,16.86170268635174,46,5786
"-52.89448697747234,-20.056286068418913",南半球,94,544,2,16.51526188294142,22.77794670830639,6.479281400738149,20,56.16262786630817,31,12,50,10.52096931208604,49,5678
"-171.6706432588595,11.68116356865383",北半球,85,29,3,31.365788739179877,26.027043465561924,10.546209148087664,69,27.027571933632956,47,70,18,17.51338273592809,81,452
"136.96621145780358,73.9759406656411",北半球,72,5951,5,15.49297790631023,15.212360136153196,7.3620179848198966,161,46.22870549739151,78,83,34,12.905110680626038,66,3523
"-106.00842878102092,-72.38734158673142",南半球,78,8241,7,33.85586984842105,32.9509247850019,5.699849879170553,65,48.16379627124058,52,1,35,12.440688894902262,46,2412
"40.07118668692377,75.70141787317854",北半球,58,4565,4,19.25488281545995,20.896566503315285,10.159936367238537,49,35.243687822146626,26,41,53,15.541514922684808,85,6485
"126.83655252079313,22.97484530946241",北半球,23,3747,7,-0.2131781066701599,-4.326046119567806,2.127202413485351,150,80.95058154958924,20,57,8,4.571860428098582,31,604
"149.47740881979104,-13.70279565558593",南半球,49,7006,9,37.22775860967356,31.98091745612402,5.607222446647947,194,51.33831227278019,99,74,9,11.678805054532754,85,1944
"-26.95579947039505,-85.90201593600219",南半球,74,498,9,12.60939590982754,13.74290008932119,6.0040093801115,128,50.57645518910978,21,32,6,11.861650754613652,33,8265
"-80.87276509523184,-52.557400781108825",南半球,36,424,4,43.63081616161127,37.97840049656244,7.536898344538148,18,43.050196519838856,66,56,19,13.667952835238674,69,844
"-132.17186242589668,-52.84705122874398",南半球,107,9306,3,22.005145662328452,28.122833381022772,3.560723021551428,92,47.17555178589817,81,39,88,12.677867571384438,18,2424
